topic,wine_id
Topic 50,97310
Topic 50,6969
Topic 50,33402
Topic 50,73883
Topic 50,78422
Topic 50,87258
Topic 50,59913
Topic 50,58314
Topic 50,73430
Topic 50,62001
Topic 50,131968
Topic 50,43924
Topic 50,45847
Topic 50,58308
Topic 50,17666
Topic 50,51792
Topic 50,68765
Topic 51,132545
Topic 51,29648
Topic 51,82102
Topic 51,121151
Topic 51,55315
Topic 51,40730
Topic 51,61043
Topic 51,96117
Topic 51,32597
Topic 51,106273
Topic 51,57391
Topic 51,113733
Topic 51,21539
Topic 51,68314
Topic 51,113776
Topic 51,75638
Topic 51,5472
Topic 51,39746
Topic 51,139626
Topic 51,64496
Topic 51,149263
Topic 51,40998
Topic 51,143466
Topic 51,14276
Topic 51,13807
Topic 52,13384
Topic 52,133791
Topic 52,87638
Topic 52,16535
Topic 52,67340
Topic 52,72639
Topic 52,110494
Topic 52,141753
Topic 52,5105
Topic 52,85866
Topic 52,34493
Topic 52,60099
Topic 52,146305
Topic 52,48885
Topic 52,85381
Topic 52,21678
Topic 52,66138
Topic 52,91189
Topic 52,8596
Topic 52,83296
Topic 52,29510
Topic 52,49668
Topic 52,66061
Topic 52,1048
Topic 52,54968
Topic 53,41261
Topic 53,66082
Topic 53,35353
Topic 53,31944
Topic 53,28923
Topic 53,73289
Topic 53,30778
Topic 53,19979
Topic 53,133085
Topic 53,46518
Topic 53,58535
Topic 53,28897
Topic 53,53021
Topic 53,42451
Topic 53,46593
Topic 53,50934
Topic 53,75535
Topic 53,18506
Topic 53,88685
Topic 53,65888
Topic 53,42070
Topic 53,25353
Topic 53,141608
Topic 53,119898
Topic 53,42238
Topic 54,146399
Topic 54,109158
Topic 54,35341
Topic 54,69398
Topic 54,82164
Topic 54,63564
Topic 54,63160
Topic 54,68634
Topic 54,67106
Topic 54,46990
Topic 54,108241
Topic 54,87496
Topic 54,107944
Topic 54,25681
Topic 54,56080
Topic 54,87895
Topic 54,144245
Topic 54,59917
Topic 54,76380
Topic 54,100258
Topic 54,23311
Topic 54,25724
Topic 54,4592
Topic 54,52969
Topic 54,10073
Topic 55,144648
Topic 55,67959
Topic 55,74507
Topic 55,54925
Topic 55,64878
Topic 55,136733
Topic 55,148113
Topic 55,21816
Topic 55,63211
Topic 55,20758
Topic 55,126419
Topic 55,83242
Topic 55,25644
Topic 55,48417
Topic 55,30747
Topic 55,41966
Topic 55,18427
Topic 55,98389
Topic 55,144860
Topic 55,144641
Topic 55,85645
Topic 55,30130
Topic 55,58640
Topic 55,1901
Topic 55,108662
Topic 56,149118
Topic 56,146305
Topic 56,31582
Topic 56,138728
Topic 56,149446
Topic 56,63564
Topic 56,43924
Topic 56,87277
Topic 56,77120
Topic 56,144948
Topic 56,6872
Topic 56,50471
Topic 56,147350
Topic 56,17949
Topic 56,52663
Topic 56,62627
Topic 56,17643
Topic 56,62197
Topic 56,54064
Topic 56,117702
Topic 56,50619
Topic 56,29864
Topic 56,139294
Topic 56,18095
Topic 56,109659
Topic 57,42790
Topic 57,80202
Topic 57,56221
Topic 57,31226
Topic 57,60235
Topic 57,64207
Topic 57,144648
Topic 57,21403
Topic 57,12904
Topic 57,19961
Topic 57,81365
Topic 57,74503
Topic 57,63564
Topic 57,78383
Topic 57,55509
Topic 57,32356
Topic 57,106911
Topic 57,138948
Topic 57,18409
Topic 57,11592
Topic 57,63342
Topic 57,60080
Topic 57,61836
Topic 57,50976
Topic 57,140401
Topic 58,112081
Topic 58,64496
Topic 58,68087
Topic 58,105846
Topic 58,20455
Topic 58,86002
Topic 58,86746
Topic 58,32821
Topic 58,38445
Topic 58,62568
Topic 58,146347
Topic 58,94858
Topic 58,149352
Topic 58,86547
Topic 58,11363
Topic 58,142680
Topic 58,72494
Topic 58,67514
Topic 58,105807
Topic 58,136683
Topic 58,62899
Topic 58,25774
Topic 58,20255
Topic 58,103142
Topic 58,115540
Topic 59,77801
Topic 59,66021
Topic 59,146343
Topic 59,64437
Topic 59,138356
Topic 59,112649
Topic 59,145167
Topic 59,60268
Topic 59,64631
Topic 59,144219
Topic 59,16741
Topic 59,56810
Topic 59,143995
Topic 59,26345
Topic 59,103096
Topic 59,23845
Topic 59,112097
Topic 59,56634
Topic 59,48242
Topic 59,145955
Topic 59,144523
Topic 59,116019
Topic 59,572
Topic 59,143970
Topic 59,104812
Topic 60,21056
Topic 60,31371
Topic 60,107775
Topic 60,100744
Topic 60,92689
Topic 60,14982
Topic 60,22343
Topic 60,52944
Topic 60,97766
Topic 60,24884
Topic 60,144548
Topic 60,104772
Topic 60,121572
Topic 60,8388
Topic 60,25364
Topic 60,79973
Topic 60,9704
Topic 60,77670
Topic 60,50446
Topic 60,8527
Topic 60,39084
Topic 60,140032
Topic 60,19808
Topic 60,100789
Topic 60,33256
Topic 61,104861
Topic 61,114748
Topic 61,5050
Topic 61,75958
Topic 61,24031
Topic 61,106392
Topic 61,144648
Topic 61,24058
Topic 61,36414
Topic 61,55956
Topic 61,132808
Topic 61,9757
Topic 61,40360
Topic 61,136719
Topic 61,10500
Topic 61,49969
Topic 61,76009
Topic 61,38530
Topic 61,116263
Topic 61,10218
Topic 61,75192
Topic 61,72849
Topic 61,60771
Topic 61,4539
Topic 61,23427
Topic 62,82956
Topic 62,2920
