topic,key_word
Topic 99,opens
Topic 99,young
Topic 99,dense
Topic 99,strawberry
Topic 100,finishes
Topic 100,edge
Topic 100,sweetness
Topic 100,vintage
Topic 100,pretty
Topic 100,time
Topic 100,leather
Topic 100,complex
Topic 100,licorice
Topic 100,sugar
Topic 101,best
Topic 101,finishes
Topic 101,herbs
Topic 101,hints
Topic 101,melon
Topic 101,licorice
Topic 101,earthy
Topic 101,aging
Topic 101,sharp
Topic 101,note
Topic 102,heavy
Topic 102,melon
Topic 102,licorice
Topic 102,lemon
Topic 102,tart
Topic 102,intense
Topic 102,smoky
Topic 102,pepper
Topic 102,aging
Topic 102,feels
Topic 103,licorice
Topic 103,tight
Topic 103,melon
Topic 103,strawberry
Topic 103,round
Topic 103,pineapple
Topic 103,freshness
Topic 103,lemon
Topic 103,wild
Topic 103,hint
Topic 104,coffee
Topic 104,intense
Topic 104,elegant
Topic 104,solid
Topic 104,plenty
Topic 104,pineapple
Topic 104,melon
Topic 104,toasty
Topic 104,round
Topic 104,lively
Topic 105,best
Topic 105,tight
Topic 105,dense
Topic 105,hint
Topic 105,herb
Topic 105,strawberry
Topic 105,coffee
Topic 105,freshness
Topic 105,long
Topic 105,wood
Topic 106,solid
Topic 106,licorice
Topic 106,strawberry
Topic 106,best
Topic 106,intense
Topic 106,hints
Topic 106,herb
Topic 106,plenty
Topic 106,finishes
Topic 106,elegant
Topic 107,feel
Topic 107,jammy
Topic 107,lime
Topic 107,hard
Topic 107,note
Topic 107,strawberry
Topic 107,palate
Topic 107,licorice
Topic 107,complex
Topic 107,herb
Topic 108,freshness
Topic 108,intense
Topic 108,herb
Topic 108,sweetness
Topic 108,best
Topic 108,floral
Topic 108,nice
Topic 108,hints
Topic 108,pineapple
Topic 108,nose
Topic 109,sugar
Topic 109,grapefruit
Topic 109,attractive
Topic 109,tight
Topic 109,concentrated
Topic 109,coffee
Topic 109,sweetness
Topic 109,freshness
Topic 109,cinnamon
Topic 109,best
Topic 110,attractive
Topic 110,lime
Topic 110,jammy
Topic 110,coffee
Topic 110,strawberry
Topic 110,note
Topic 110,cassis
Topic 110,currant
Topic 110,intense
Topic 110,feels
Topic 111,attractive
Topic 111,honey
Topic 111,herb
Topic 111,young
Topic 111,finishes
Topic 111,aging
Topic 111,sharp
Topic 111,freshness
Topic 111,price
Topic 111,complexity
Topic 112,plenty
Topic 112,licorice
Topic 112,freshness
Topic 112,sharp
Topic 112,grapefruit
Topic 112,dense
Topic 112,lively
Topic 112,young
Topic 112,earthy
Topic 112,honey
Topic 113,heavy
Topic 113,grapefruit
Topic 113,jammy
Topic 113,palate
Topic 113,cassis
Topic 113,pineapple
Topic 113,hard
Topic 113,mouth
Topic 113,tart
Topic 113,edge
Topic 114,hint
Topic 114,feel
Topic 114,heavy
Topic 114,structured
Topic 114,freshness
Topic 114,hints
Topic 114,bitter
Topic 114,quite
Topic 114,currants
Topic 114,licorice
Topic 115,licorice
Topic 115,sharp
Topic 115,attractive
Topic 115,time
Topic 115,vintage
Topic 115,melon
Topic 115,structured
Topic 115,acids
Topic 115,earthy
Topic 115,herb
Topic 116,quite
Topic 116,lime
Topic 116,showing
Topic 116,structured
Topic 116,intense
Topic 116,heavy
Topic 116,floral
Topic 116,earthy
Topic 116,orange
Topic 116,palate
Topic 117,plenty
Topic 117,feel
Topic 117,licorice
Topic 117,concentrated
Topic 117,hard
Topic 117,opens
Topic 117,weight
Topic 117,young
Topic 117,color
Topic 117,vineyard
Topic 118,plenty
Topic 118,structured
Topic 118,time
Topic 118,feels
Topic 118,lime
Topic 118,strawberry
Topic 118,heavy
Topic 118,aging
Topic 118,vintage
Topic 118,intense
Topic 119,showing
Topic 119,jammy
Topic 119,melon
Topic 119,plenty
Topic 119,structured
Topic 119,note
Topic 119,feel
Topic 119,complexity
Topic 119,cola
Topic 119,best
Topic 120,structured
Topic 120,young
Topic 120,dense
Topic 120,round
Topic 120,attractive
Topic 120,intense
Topic 120,feel
Topic 120,apricot
Topic 120,hard
Topic 120,currants
Topic 121,sharp
Topic 121,sour
Topic 121,price
